,RECORD,BBLE,LOT,EASEMENT,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,NA_COUNT_PRE,BORO,AVG_LTFRONT,AVG_LTDEPTH,AVG_STORIES,AVG_ZIP,AVG_BLDFRONT,AVG_BLDDEPTH,NA_COUNT_POST
492955,492956,5012240019,19,,K9,4,25.0,90.0,2.0,123000,20250,55350,0,0,,10303.0,,25.0,45.0,6,5,48.0,109.0,2.0,10308.0,25.0,40.0,3
827614,827615,3078620034,34,,A1,1,20.0,100.0,2.0,491000,12761,20817,1620,1620,1017.0,11234.0,,15.0,43.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
956759,956760,4094670008,8,,B2,1,20.0,90.0,2.0,445000,9566,17376,0,0,,11419.0,,20.0,55.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
221807,221808,4082010015,15,,A1,1,34.0,100.0,2.5,628000,14677,26872,3240,3240,1017.0,11362.0,,22.0,27.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
277469,277470,2050940020,20,,B2,1,25.0,87.0,2.0,358000,14040,21480,1620,1620,1017.0,10466.0,,18.0,60.0,7,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
951273,951274,5020030076,76,,A5,1,25.0,135.0,2.0,365000,15420,21900,1620,1620,1017.0,10314.0,,18.0,50.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
547175,547176,4082862006,2006,,R3,1A,18.0,38.0,2.0,451788,1728,18811,1620,1620,1017.0,11362.0,,18.0,38.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
626706,626707,4047310015,15,,K1,4,29.0,72.0,1.7,204000,30510,91800,0,0,,11357.0,,18.0,68.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
746864,746865,2028210052,52,,D4,2,236.0,75.0,6.0,1730000,68850,778500,10450,10450,1017.0,10457.0,,236.0,75.0,3,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
571403,571404,4011740134,134,,V3,1B,15.0,100.0,3.0,0,0,0,0,0,,11380.0,,26.0,44.0,10,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
599688,599689,3017860017,17,,B3,1,18.0,100.0,3.0,557000,3734,6136,0,0,,11221.0,,18.0,40.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
507703,507704,3003950029,29,,C0,1,21.0,100.0,3.0,1200000,10264,18662,0,0,,11217.0,,20.0,60.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
294686,294687,4140060123,123,,A1,1,50.0,100.0,2.5,644000,21240,38640,0,0,,11414.0,,36.0,25.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
699815,699816,2045450006,6,,B1,1,27.0,113.0,2.0,455000,11555,19617,0,0,,10467.0,,23.0,40.0,8,2,49.0,107.0,4.0,10464.0,33.0,52.0,3
882135,882136,4064980056,56,,B1,1,22.0,100.0,2.0,591000,18113,31209,1620,1620,1017.0,11367.0,,22.0,42.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
257290,257291,3088661454,1454,,B2,1,40.0,45.0,2.0,431000,12394,16436,1620,1620,1017.0,11229.0,,20.0,40.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
171306,171307,1019451133,1133,,R4,2,81.0,120.0,5.0,476420,14145,214389,12287,212531,5114.0,10026.0,,70.0,102.0,3,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
608084,608085,3078830002,2,,K4,4,20.0,100.0,2.0,210000,22500,94500,0,0,,11234.0,,20.0,62.0,6,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
114104,114105,4056630037,37,,A0,1,40.0,100.0,1.5,561000,16671,28086,1620,1620,1017.0,11365.0,,22.0,40.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
157475,157476,2023880053,53,,E9,4,25.0,119.0,1.0,180000,13500,81000,0,0,,10456.0,,25.0,100.0,6,2,49.0,107.0,4.0,10464.0,33.0,52.0,3
46612,46613,1012691175,1175,,R4,2,81.0,120.0,52.0,327871,58205,147542,58205,147542,1990.0,10019.0,,70.0,102.0,3,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
1036389,1036390,5021580029,29,,B2,1,36.0,112.0,2.5,367000,14100,22020,1620,1620,1017.0,10314.0,,22.0,38.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
264662,264663,5052720069,69,,A2,1,20.0,100.0,1.5,278000,4748,8302,0,0,,10308.0,,14.0,38.0,8,5,48.0,109.0,2.0,10308.0,25.0,40.0,3
226318,226319,1006970031,31,,E1,4,197.0,100.0,10.0,18000000,2398500,8100000,0,0,,10001.0,,197.0,100.0,6,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
281928,281929,1002391001,1001,,R5,4,81.0,120.0,7.0,4950000,1044900,2227500,0,0,,10013.0,,70.0,102.0,6,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
556430,556431,5053240186,186,,A5,1,31.0,100.0,2.0,431000,12087,21264,1620,1620,1017.0,10312.0,,22.0,47.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
624355,624356,2054260025,25,,V0,1B,25.0,100.0,4.0,141750,1989,1989,0,0,,10464.0,,33.0,52.0,10,2,49.0,107.0,4.0,10464.0,33.0,52.0,3
837325,837326,5007050218,218,,A2,1,40.0,100.0,1.0,511000,17388,29917,5760,5760,1010.0,10314.0,,27.0,50.0,6,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
948964,948965,4161220027,27,,A9,1,23.0,97.0,2.0,320000,8639,16754,1620,1620,1017.0,11693.0,,15.0,35.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
368766,368767,4106610020,20,,A5,1,22.0,100.0,1.0,323300,15630,18926,0,0,,11427.0,,22.0,44.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
58454,58455,3051790051E,51,E,U7,3,33.0,101.0,3.0,0,0,0,0,0,,11226.0,,25.0,52.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
109171,109172,3020610100,100,,W9,4,127.0,168.0,1.0,935000,191250,420750,0,0,,11201.0,,127.0,168.0,6,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
479064,479065,4115120020,20,,B3,1,21.0,100.0,2.0,397000,14682,20817,1620,1620,1017.0,11417.0,,16.0,42.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
781605,781606,4098630115,115,,A1,1,50.0,120.0,2.5,653000,17526,28328,1620,1620,1017.0,11432.0,,20.0,40.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
92883,92884,3013930025,25,,C0,1,20.0,86.0,3.0,675000,5672,38287,1620,1620,1017.0,11233.0,,20.0,48.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
619843,619844,4050501103,1103,,R4,2,41.0,104.0,7.0,85454,3098,38454,2383,37739,5113.0,11355.0,,26.0,44.0,3,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
166127,166128,1008201210,1210,,R4,2,81.0,120.0,11.0,892230,132804,401504,22340,22340,1010.0,10011.0,,70.0,102.0,2,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
163834,163835,3018670001,1,,S9,2B,25.0,69.0,4.0,617000,2938,124185,0,0,,11216.0,,25.0,60.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
904044,904045,3003990022,22,,C0,1,20.0,100.0,3.0,1338000,13155,27807,0,0,,11217.0,,20.0,52.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
885927,885928,4021161027,1027,,R5,4,41.0,104.0,7.0,15000,550,6750,550,2650,1017.0,11374.0,,26.0,44.0,3,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
713416,713417,4014130028,28,,A5,1,22.0,100.0,2.0,501000,13134,20758,1620,1620,1017.0,11370.0,,18.0,36.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
208815,208816,3021651002,1002,,R4,2,33.0,101.0,8.0,72349,2939,32557,0,28713,5113.0,11211.0,,25.0,52.0,4,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
194213,194214,1007621120,1120,,R4,2,49.0,100.0,11.0,143266,7088,64470,2331,59713,5110.0,10018.0,,49.0,70.0,3,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
866684,866685,1010671235,1235,,R4,2,81.0,120.0,11.0,236430,28222,106394,3847,82019,5110.0,10019.0,,70.0,102.0,4,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
831145,831146,3074651007,1007,,R4,2,33.0,101.0,6.0,211255,8830,95065,0,84205,5113.0,11235.0,,25.0,52.0,4,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
361191,361192,3000451042,1042,,R4,2,33.0,101.0,13.0,59600,1954,26820,0,17156,1920.0,11201.0,,25.0,52.0,4,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
473971,473972,4094230035,35,,B3,1,50.0,95.0,2.7,517000,18677,28738,1620,1620,1017.0,11416.0,,20.0,30.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
646600,646601,4034830026,26,,B1,1,25.0,100.0,2.0,547000,14461,23970,0,0,,11385.0,,18.0,55.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
505308,505309,3017171001,1001,,R5,4,592.0,100.0,2.0,1167000,77400,525150,0,0,,11205.0,,25.0,52.0,6,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
932797,932798,4060600040,40,,A1,1,44.0,100.0,2.0,583000,15591,26270,1620,1620,1017.0,11361.0,,21.0,24.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
111313,111314,4106930035,35,,U9,3,291.0,339.0,3.0,0,0,0,0,0,,11380.0,,26.0,44.0,10,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
805798,805799,5054770037,37,,A9,1,23.0,100.0,3.0,386000,14880,23160,0,0,,10308.0,,17.0,44.0,8,5,48.0,109.0,2.0,10308.0,25.0,40.0,3
459375,459376,4086870023,23,,A2,1,40.0,100.0,1.5,517000,15987,25992,1620,1620,1017.0,11040.0,,23.0,33.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
225887,225888,4017010069,69,,C2,2A,20.0,95.0,2.0,408000,13875,25160,0,0,,11369.0,,19.0,46.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
449439,449440,3011380034,34,,B9,1,20.0,110.0,2.0,981000,10286,22033,1620,1620,1017.0,11238.0,,20.0,34.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
564131,564132,2056360001,1,,A1,1,61.0,100.0,2.0,524000,15379,22636,0,0,,10464.0,,24.0,24.0,8,2,49.0,107.0,4.0,10464.0,33.0,52.0,3
38555,38556,4085730044,44,,A2,1,40.0,100.0,1.5,453000,14519,24542,1620,1620,1017.0,11426.0,,24.0,32.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
700510,700511,5054560123,123,,A2,1,40.0,102.0,1.0,413000,12379,21755,1620,1620,1017.0,10308.0,,26.0,43.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
357085,357086,3058870038,38,,B1,1,20.0,100.0,2.0,686000,19385,30854,5760,5760,1010.0,11209.0,,20.0,55.0,6,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
900435,900436,3003991018,1018,,R3,1A,33.0,101.0,2.0,798410,226,9594,226,1620,1017.0,11217.0,,22.0,50.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
228632,228633,4099300051,51,,A1,1,25.0,100.0,2.5,404000,14951,20901,1620,1620,1017.0,11423.0,,16.0,38.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
424839,424840,3021161001,1001,,R8,2C,83.0,88.0,1.0,420988,535,14384,0,0,,11217.0,,80.0,40.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
400772,400773,3058790055,55,,B1,1,22.0,89.0,2.0,607000,16814,27072,1620,1620,1017.0,11228.0,,21.0,52.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
149981,149982,5053910069,69,,B2,1,80.0,100.0,2.0,737000,30180,44220,1620,1620,1017.0,10312.0,,65.0,35.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
465750,465751,4011260007,7,,C0,1,24.0,95.0,3.0,711000,20855,37923,0,0,,11370.0,,22.0,49.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
583733,583734,5014400047,47,,A1,1,45.0,100.0,1.0,388000,12399,20736,1620,1620,1017.0,10302.0,,26.0,37.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
102890,102891,4051010029,29,,C0,1,21.0,70.0,4.0,930000,22691,40818,14190,32317,5113.0,11355.0,,20.0,40.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
394689,394690,1016230136,136,,C0,1,20.0,109.0,4.0,1210000,12775,40449,0,27674,5112.0,10035.0,,20.0,45.0,7,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
919034,919035,5003770451,451,,A1,1,40.0,100.0,2.5,463000,12817,22394,1620,1620,1017.0,10314.0,,22.0,28.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
875291,875292,4120270102,102,,A1,1,25.0,100.0,2.0,349000,8981,15751,0,0,,11436.0,,16.0,36.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
921871,921872,4134850055,55,,A2,1,30.0,100.0,1.0,274000,8048,12746,0,0,,11413.0,,18.0,29.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
1022205,1022206,3022414005,4005,,R4,2,33.0,101.0,7.0,130708,8036,58819,141,50924,5113.0,11206.0,,25.0,52.0,4,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
957293,957294,4021690026,26,,B1,1,25.0,100.0,2.0,611000,17639,29854,1620,1620,1017.0,11375.0,,25.0,34.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
338775,338776,5024510109E,109,E,Z7,4,29.0,10.0,2.0,0,0,0,0,0,,10308.0,,25.0,40.0,10,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
362247,362248,4029530019,19,,C0,1,21.0,103.0,3.0,700000,25800,42000,1620,1620,1017.0,11379.0,,21.0,55.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
220885,220886,3074750033,33,,B9,1,20.0,100.0,3.0,531000,17483,28477,1620,1620,1017.0,11235.0,,20.0,36.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
530466,530467,2056260230,230,,A2,1,50.0,95.0,2.5,509000,16199,25929,1620,1620,1017.0,10464.0,,37.0,29.0,7,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
278469,278470,4162820036,36,,A1,1,60.0,100.0,3.0,1242000,37594,56460,1620,1620,1017.0,11694.0,,35.0,30.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
89390,89391,2057780873,873,,C0,1,50.0,110.0,2.5,806000,19656,34144,1620,1620,1017.0,10463.0,,36.0,24.0,7,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
435901,435902,3005310026,26,,N9,4,100.0,100.0,3.0,1110000,78750,499500,0,0,,11231.0,,83.0,36.0,6,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
847259,847260,3078800026,26,,A9,1,20.0,100.0,2.0,395000,13652,21315,13652,16562,1010.0,11234.0,,13.0,48.0,6,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
214121,214122,5035851240,1240,,R4,2,48.0,109.0,7.0,39258,2583,17666,0,0,,10306.0,,25.0,40.0,9,5,48.0,109.0,2.0,10308.0,25.0,40.0,3
924978,924979,4158900013,13,,V1,4,30.0,72.0,3.0,114660,51597,51597,0,0,,11691.0,,26.0,44.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
316707,316708,3070370090,90,,B2,1,28.0,106.0,2.0,488000,14736,20966,0,0,,11224.0,,16.0,48.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
520962,520963,3074680074,74,,B3,1,42.0,175.0,2.7,1008000,18739,30564,1620,1620,1017.0,11235.0,,22.0,35.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
782473,782474,1004710007,7,,O9,4,24.0,47.0,5.0,728000,121500,327600,0,0,,10013.0,,25.0,49.0,6,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
12335,12336,5020720097,97,,A5,1,24.0,172.0,2.0,380000,13212,22118,1620,1620,1017.0,10314.0,,16.0,45.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
949614,949615,3016610036,36,,B1,1,16.0,97.0,2.0,498000,7811,11859,0,0,,11233.0,,16.0,45.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
106357,106358,3087202206,2206,,R5,4,9.0,18.0,3.0,9631,4334,4334,0,0,,11235.0,,25.0,52.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
1006599,1006600,4107440024,24,,A1,1,85.0,105.0,2.7,652000,15237,24591,9388,9388,1010.0,11428.0,,30.0,36.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
167407,167408,3003640021,21,,C3,2A,20.0,100.0,3.0,1640000,40749,74171,0,0,,11231.0,,21.0,45.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
740359,740360,1005737502,7502,,R0,2,92.0,115.0,19.0,0,0,0,0,0,,10011.0,,70.0,102.0,9,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
439808,439809,4083510017,17,,A1,1,40.0,99.0,2.0,1023000,35104,59358,0,0,,11362.0,,26.0,53.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
570687,570688,2027520018,18,,C1,2,37.0,100.0,5.0,559000,17685,251550,0,0,,10459.0,,37.0,88.0,6,2,49.0,107.0,4.0,10464.0,33.0,52.0,3
585467,585468,4112370073,73,,A1,1,34.0,100.0,2.0,324000,10179,18022,10179,12251,1015.0,11411.0,,22.0,26.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
427739,427740,3080080034,34,,B3,1,30.0,123.0,2.7,576000,18402,30027,1620,1620,1017.0,11236.0,,20.0,60.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
243092,243093,3079641004,1004,,R5,4,130.0,100.0,4.0,7667,200,3450,0,0,,11236.0,,25.0,52.0,6,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
121005,121006,3088350030,30,,T2,4,60.0,335.0,3.0,47200,18405,21240,18405,18405,2201.0,11220.0,X1,25.0,52.0,4,3,33.0,101.0,3.0,11220.0,25.0,52.0,1
408067,408068,4142551783,1783,,A1,1,100.0,80.0,2.5,576000,10920,19657,1620,1620,1017.0,11414.0,,16.0,45.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
204240,204241,4081190009,9,,A0,1,43.0,101.0,1.5,564000,15117,27153,0,0,,11363.0,,24.0,38.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
336027,336028,4121840050,50,,A1,1,50.0,60.0,2.5,269400,9740,13186,1620,1620,1017.0,11434.0,,22.0,24.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
183040,183041,3011371011,1011,,R2,2,33.0,101.0,4.0,148955,14818,67030,0,47324,1920.0,11238.0,,126.0,100.0,4,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
605724,605725,3042820001,1,,A5,1,18.0,85.0,2.0,269700,11160,16182,1620,1620,1017.0,11208.0,,16.0,35.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
446933,446934,4008630016,16,,B1,1,24.0,100.0,2.0,589000,22311,32209,0,0,,11102.0,,20.0,52.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
987892,987893,3020601220,1220,,R4,2,33.0,101.0,37.0,83004,7445,37352,5677,35584,5114.0,11201.0,,25.0,52.0,4,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
164910,164911,1003920025,25,,C7,2,25.0,92.0,5.0,1700000,184500,765000,0,0,,10009.0,,25.0,80.0,6,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
618334,618335,1005001405,1405,,R1,2C,81.0,120.0,7.0,1227195,24241,264513,0,0,,10012.0,,75.0,100.0,8,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
