,BBLE,BLOCK,LOT,EASEMENT,OWNER,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,STADDR,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,EXCD2,PERIOD,YEAR,VALTYPE,manhattan_score,euclidean_score,autoencoder_score,weighted_score
4,1006950027E,695,27,E,CONRAIL,U6,3,0,0,,0,0,0,0,0,,WEST 23 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
481,1012651109,1265,1109,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,4319140,471179,1943613,471179,1943613,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,471179.0,1691869.0,471179.0,1691869.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
2502,1012830021,1283,21,,MIDTOWN TRACKAGE VENT,O4,4,200,400,52.0,585000000,43380000,263250000,0,61173000,1985.0,270 PARK AVENUE,10017.0,,200,400,44244000.0,254404067.0,,61173000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
4631,1012820030E,1282,30,E,PENN CENTRAL RAILROAD,U1,3,0,0,,0,0,0,0,0,,EAST 46 STREET,10017.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
5502,1012651096,1265,1096,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,2933126,319977,1319907,319977,1319907,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,319977.0,1148948.0,319977.0,1148948.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
8105,1000060001E,6,1,E,DEPT OF PARKS AND REC,Z7,4,191,349,,135000,24750,60750,0,0,,WATER STREET,10004.0,,0,0,22518.0,56502.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
8170,4158510048F,15851,48,F,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,BEACH 42 STREET,,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
9692,4158530060H,15853,60,H,,U1,3,0,0,,0,0,0,0,0,,EDGEMERE AVENUE,,X4,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
11984,1010690008E,1069,8,E,CONSOLIDATED RAIL CO,U6,3,0,0,,0,0,0,0,0,,WEST 40 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
11991,1010770029E,1077,29,E,,U6,3,0,0,,0,0,0,0,0,,,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
12223,1009390021E,939,21,E,NATIONAL PASS RR CORP,U6,3,0,0,,0,0,0,0,0,,EAST 33 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
12721,1010850001E,1085,1,E,CONRAIL CORP,U6,3,0,0,,0,0,0,0,0,,11 AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
14780,1000160150,16,150,,WFP TOWER D CO LP,O4,4,343,293,33.0,401000000,46350000,180450000,46350000,180450000,3390.0,250 VESEY PLACE,10282.0,,125,125,46350000.0,193290000.0,46350000.0,193290000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
15406,1021780002F,2178,2,F,NYC & HRR CO,U1,3,0,0,,0,0,0,0,0,,RIVERSIDE DRIVE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
16307,1006650010E,665,10,E,,U1,3,0,0,,0,0,0,0,0,,12 AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
18631,1010810039E,1081,39,E,CONSOLIDATED RAIL CO,U6,3,0,0,,0,0,0,0,0,,10 AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
19302,1012651004,1265,1004,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,9375072,819316,4218782,0,1390259,1985.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,819316.0,3709605.0,,1390259.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
19471,1012651005,1265,1005,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,17454588,1731145,7854565,0,2003712,1985.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,1731145.0,6937397.0,,2003712.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
20132,1012651100,1265,1100,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,3195611,348611,1438025,348611,1438025,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,348611.0,1251768.0,348611.0,1251768.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
21883,1007290006E,729,6,E,,U9,3,0,0,,0,0,0,0,0,,,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
22269,2055160001,5516,1,,EDGEWATER PARK OWNRSE,A8,1D,417,500,1.0,6385000,136920,257887,67979,67979,1010.0,8C EDGEWATER PARK,10465.0,,14,36,,,,,1015.0,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
22920,4059170001,5917,1,,THE CITY OF NEW YORK,V3,1B,2000,2200,,279670117,16780207,16780207,16780207,16780207,4500.0,423 ABBOT ROAD,11359.0,X3,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
23465,1012800030F,1280,30,F,CNY/NYCTA,U7,3,0,0,,0,0,0,0,0,,EAST 42 STREET,10017.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
26857,1012651018,1265,1018,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,9855380,1075126,4434921,1075126,4434921,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,1075126.0,3860504.0,1075126.0,3860504.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
