,merchantnum_amount_week_diff_max_1,merchantnum_amount_max_3,newmerch_30,cardnum_state_30,cardnum_state_15,newmerch_7,merchantnum_cardnum_3,cardnum_merchantnum_15,cardnum_merchantnum_30,cardnum_zip_7,Fraud
0,-202.85595831983588,182.0,1,5,5,1,1,10,10,7,0
1,-210.2459583198359,174.61,0,1,1,0,1,1,1,1,0
2,-331.8559583198359,53.0,1,5,4,0,1,6,8,3,0
3,-359.8559583198359,25.0,2,2,2,0,1,4,4,1,0
4,-287.6859583198359,97.17,1,3,2,1,1,2,4,1,0
5,-378.3459583198359,6.51,0,1,1,0,1,1,1,1,0
6,-214.85595831983588,170.0,1,2,1,0,1,1,2,1,0
7,-134.8559583198359,250.0,2,5,3,0,1,5,9,2,0
8,-369.8559583198359,15.0,0,2,2,0,1,2,2,2,0
9,-84.8559583198359,300.0,1,1,1,0,1,3,4,3,0
10,-287.83595831983587,97.02,1,3,3,0,1,3,4,2,0
11,366.9840416801641,751.84,0,1,1,0,1,1,1,1,0
12,-341.2959583198359,43.56,3,3,2,1,1,1,3,1,0
13,-233.3459583198359,151.51,1,2,2,1,1,2,2,1,0
14,-299.8559583198359,85.0,2,5,2,0,1,2,5,1,0
15,-374.5559583198359,10.3,0,5,5,0,1,10,10,6,0
16,1729.5740416801639,2114.43,2,8,3,0,1,2,9,1,0
17,-309.2059583198359,75.65,7,14,8,1,1,17,36,12,0
18,-245.7659583198359,139.09,4,3,3,0,1,5,8,2,0
19,-293.5759583198359,91.28,1,2,1,0,1,1,2,1,0
20,-327.0059583198359,57.85,0,2,2,0,1,1,1,2,0
21,-10.005958319835884,374.85,0,12,11,0,1,15,19,11,0
22,-369.9159583198359,14.94,5,7,6,2,1,8,12,6,0
23,-351.015958319836,33.84,0,3,1,0,1,1,3,1,0
24,-383.395958319836,1.46,2,7,5,1,1,7,9,5,0
25,-322.0559583198359,62.8,1,2,2,1,1,3,4,3,0
26,-359.08595831983587,25.77,0,1,1,0,1,2,2,1,0
27,615.144041680164,1000.0,0,11,7,0,1,7,14,2,0
28,-245.9059583198359,138.95,1,2,2,1,1,2,3,2,0
29,-378.455958319836,6.4,2,7,5,1,1,7,9,5,0
30,-316.8559583198359,68.0,9,14,9,3,1,15,33,11,0
31,251.14404168016412,636.0,0,3,3,0,1,5,8,3,0
32,35.694041680164105,420.55,0,5,5,0,1,7,10,5,0
33,-84.8559583198359,300.0,1,1,1,0,1,3,4,3,0
34,-349.9459583198359,283.5,1,5,3,0,1,4,7,3,0
35,-304.8559583198359,80.0,3,2,2,3,1,3,5,2,0
