,Recordnum,Amount,Fraud
0,84096,182.0,0
1,84097,174.61,0
2,84098,53.0,0
3,84099,25.0,0
4,84100,97.17,0
5,84101,6.51,0
6,84102,170.0,0
7,84103,250.0,0
8,84104,15.0,0
9,84105,300.0,0
10,84106,97.02,0
11,84107,751.84,0
12,84108,43.56,0
13,84109,151.51,0
14,84110,85.0,0
15,84111,10.3,0
16,84112,2114.43,0
17,84113,75.65,0
18,84114,139.09,0
19,84115,91.28,0
20,84116,57.85,0
21,84117,374.85,0
22,84118,14.94,0
23,84119,33.84,0
24,84120,1.46,0
25,84121,62.8,0
26,84122,25.77,0
27,84123,1000.0,0
28,84124,138.95,0
29,84125,6.4,0
30,84126,68.0,0
31,84127,636.0,0
32,84128,420.55,0
33,84129,180.0,0
34,84130,34.91,0
35,84131,80.0,0
36,84132,179.99,0
37,84133,176.12,0
38,84134,84.51,0
39,84135,108.47,0
40,84136,27.31,0
41,84137,76.95,0
42,84138,168.47,0
43,84139,287.0,0
44,84140,250.0,0
45,84141,6.87,0
46,84142,85.85,0
47,84143,113.96,0
48,84144,32.95,0
49,84145,219.67,0
50,84146,36.95,0
51,84147,95.34,0
52,84148,454.48,0
53,84149,1721.07,0
54,84150,453.6,0
55,84151,350.0,0
56,84152,325.0,0
57,84153,75.87,0
58,84154,3.0,0
59,84155,2216.46,0
60,84156,457.0,0
61,84157,2433.0,0
62,84158,68.0,0
63,84159,27.2,0
64,84160,72.84,0
65,84161,673.4,0
66,84162,15.0,0
67,84163,29.25,0
68,84164,56.96,0
69,84165,6.0,0
70,84166,1028.9,0
71,84167,728.36,0
72,84168,500.0,0
73,84169,61.55,0
74,84170,146.0,0
75,84171,19.95,0
76,84172,18.0,0
77,84173,64.49,0
78,84174,263.0,0
79,84175,205.0,0
80,84176,1140.0,0
81,84177,582.42,0
82,84178,125.73,0
83,84179,151.51,0
84,84180,66.65,0
85,84181,50.84,0
86,84182,250.0,0
87,84183,18.84,0
88,84184,448.0,0
89,84185,328.07,0
90,84186,790.85,0
91,84187,15.16,0
92,84188,333.18,0
93,84189,1678.0,0
94,84190,716.4,0
95,84191,7.3,0
96,84192,59.99,0
97,84193,51.1,0
98,84194,300.0,0
99,84195,7.95,0
100,84196,248.2,0
101,84197,24.0,0
102,84198,39.36,0
103,84199,65.98,0
104,84200,408.05,0
105,84201,14.82,0
106,84202,95.5,0
107,84203,213.12,0
108,84204,647.0,0
109,84205,58.96,0
110,84206,140.0,0
111,84207,110.0,0
112,84208,18.0,0
113,84209,30.95,0
114,84210,459.95,0
115,84211,118.08,0
116,84212,1031.91,0
117,84213,197.5,0
118,84214,238.25,0
119,84215,124.5,0
