,merchantnum_amount_week_diff_max_1,newmerch_30,cardnum_state_30,cardnum_state_15,newmerch_7,merchantnum_cardnum_3,cardnum_merchantnum_15,cardnum_merchantnum_30,cardnum_zip_7,Fraud
0,-202.85595831983588,1,5,5,1,1,10,10,7,0
1,-210.2459583198359,0,1,1,0,1,1,1,1,0
2,-331.8559583198359,1,5,4,0,1,6,8,3,0
3,-359.8559583198359,2,2,2,0,1,4,4,1,0
4,-287.6859583198359,1,3,2,1,1,2,4,1,0
5,-378.3459583198359,0,1,1,0,1,1,1,1,0
6,-214.85595831983588,1,2,1,0,1,1,2,1,0
7,-134.8559583198359,2,5,3,0,1,5,9,2,0
8,-369.8559583198359,0,2,2,0,1,2,2,2,0
9,-84.8559583198359,1,1,1,0,1,3,4,3,0
10,-287.83595831983587,1,3,3,0,1,3,4,2,0
11,366.9840416801641,0,1,1,0,1,1,1,1,0
12,-341.2959583198359,3,3,2,1,1,1,3,1,0
13,-233.3459583198359,1,2,2,1,1,2,2,1,0
14,-299.8559583198359,2,5,2,0,1,2,5,1,0
15,-374.5559583198359,0,5,5,0,1,10,10,6,0
16,1729.5740416801639,2,8,3,0,1,2,9,1,0
17,-309.2059583198359,7,14,8,1,1,17,36,12,0
18,-245.7659583198359,4,3,3,0,1,5,8,2,0
19,-293.5759583198359,1,2,1,0,1,1,2,1,0
20,-327.0059583198359,0,2,2,0,1,1,1,2,0
21,-10.005958319835884,0,12,11,0,1,15,19,11,0
22,-369.9159583198359,5,7,6,2,1,8,12,6,0
23,-351.015958319836,0,3,1,0,1,1,3,1,0
24,-383.395958319836,2,7,5,1,1,7,9,5,0
25,-322.0559583198359,1,2,2,1,1,3,4,3,0
26,-359.08595831983587,0,1,1,0,1,2,2,1,0
27,615.144041680164,0,11,7,0,1,7,14,2,0
28,-245.9059583198359,1,2,2,1,1,2,3,2,0
29,-378.455958319836,2,7,5,1,1,7,9,5,0
30,-316.8559583198359,9,14,9,3,1,15,33,11,0
31,251.14404168016412,0,3,3,0,1,5,8,3,0
32,35.694041680164105,0,5,5,0,1,7,10,5,0
33,-84.8559583198359,1,1,1,0,1,3,4,3,0
34,-349.9459583198359,1,5,3,0,1,4,7,3,0
35,-304.8559583198359,3,2,2,3,1,3,5,2,0
36,-204.8659583198359,0,5,2,0,1,3,6,2,0
37,-208.7359583198359,0,1,1,0,1,2,3,1,0
38,-300.3459583198359,4,5,3,1,1,6,9,4,0
39,-276.385958319836,1,5,2,1,1,4,7,3,0
40,-357.5459583198359,1,1,1,1,1,1,1,1,0
41,-307.9059583198359,2,5,5,0,1,6,10,2,0
42,615.144041680164,0,11,7,0,1,7,14,2,0
43,-97.8559583198359,0,5,5,0,2,8,11,6,0
44,-84.8559583198359,1,1,1,0,1,3,4,3,0
45,-377.9859583198359,0,1,1,0,1,4,4,3,0
46,-97.8559583198359,1,5,4,0,2,6,8,3,0
47,-270.89595831983587,2,4,3,0,1,3,5,3,0
48,-351.9059583198359,0,1,1,0,1,2,2,2,0
49,-165.18595831983592,0,5,3,0,1,4,6,3,0
50,-347.9059583198359,3,5,5,2,1,8,11,8,0
51,-289.51595831983593,2,4,4,1,1,4,5,2,0
52,69.62404168016411,2,3,2,0,1,3,4,1,0
53,1336.214041680164,0,3,3,0,1,5,8,3,0
54,68.74404168016412,0,1,1,0,1,1,1,1,0
55,-34.855958319835906,1,1,1,0,1,3,4,3,0
56,-59.85595831983591,1,4,2,1,1,2,5,2,0
57,-308.9859583198359,9,3,2,2,1,10,14,3,0
58,-381.8559583198359,0,1,1,0,1,1,1,1,0
59,1831.6040416801638,1,3,2,1,1,3,5,2,0
60,72.1440416801641,0,2,1,0,1,1,2,1,0
61,2048.1440416801643,2,10,10,1,1,11,13,6,0
62,-316.8559583198359,9,14,9,3,1,15,33,11,0
63,-357.6559583198359,0,3,2,0,1,2,3,1,0
