,cardnum_amount_sum_3,cardnum_amount_week_diff_sum_3,cardnum_amount_week_diff_sum_1,merchantnum_amount_week_diff_sum_3,cardnum_merchantnum_30,cardnum_amount_month_diff_max_3,merchantnum_amount_sum_3,cardnum_amount_month_diff_sum_3,merchantnum_amount_sum_7,cardnum_amount_sum_7,merchantnum_amount_max_3,merchantnum_amount_week_diff_sum_1,cardnum_amount_week_diff_max_3,merchantnum_amount_week_diff_max_3,cardnum_amount_max_3,merchantnum_amount_month_diff_max_3,merchantnum_amount_month_diff_sum_3,cardnum_zip_30,cardnum_merchantnum_15,merchantnum_amount_week_diff_max_1,Fraud
0,182.0,-202.85595831983588,-202.85595831983588,-202.85595831983588,10,-249.2861866575669,182.0,-249.2861866575669,182.0,3422.4400000000005,182.0,-202.85595831983588,-202.85595831983588,-202.85595831983588,182.0,-249.2861866575669,-249.2861866575669,7,10,-202.85595831983588,0
1,174.61,-210.2459583198359,-210.2459583198359,-210.2459583198359,1,-256.6761866575669,174.61,-256.6761866575669,1430.61,174.61,174.61,-210.2459583198359,-210.2459583198359,-210.2459583198359,174.61,-256.6761866575669,-256.6761866575669,1,1,-210.2459583198359,0
2,53.0,-331.8559583198359,-331.8559583198359,-331.8559583198359,8,-378.28618665756693,53.0,-378.28618665756693,53.0,302.88,53.0,-331.8559583198359,-331.8559583198359,-331.8559583198359,53.0,-378.28618665756693,-378.28618665756693,7,6,-331.8559583198359,0
3,25.0,-359.8559583198359,-359.8559583198359,-359.8559583198359,4,-406.28618665756693,25.0,-406.28618665756693,25.0,25.0,25.0,-359.8559583198359,-359.8559583198359,-359.8559583198359,25.0,-406.28618665756693,-406.28618665756693,4,4,-359.8559583198359,0
4,97.17,-287.6859583198359,-287.6859583198359,-287.6859583198359,4,-334.11618665756686,97.17,-334.11618665756686,97.17,97.17,97.17,-287.6859583198359,-287.6859583198359,-287.6859583198359,97.17,-334.11618665756686,-334.11618665756686,4,2,-287.6859583198359,0
5,6.51,-378.3459583198359,-378.3459583198359,-378.3459583198359,1,-424.7761866575669,6.51,-424.7761866575669,26.520000000000003,6.51,6.51,-378.3459583198359,-378.3459583198359,-378.3459583198359,6.51,-424.7761866575669,-424.7761866575669,1,1,-378.3459583198359,0
6,170.0,-214.85595831983588,-214.85595831983588,-214.85595831983588,2,-261.28618665756693,170.0,-261.28618665756693,170.0,170.0,170.0,-214.85595831983588,-214.85595831983588,-214.85595831983588,170.0,-261.28618665756693,-261.28618665756693,2,1,-214.85595831983588,0
7,250.0,-134.8559583198359,-134.8559583198359,-134.8559583198359,9,-181.2861866575669,250.0,-181.2861866575669,285.92,409.75,250.0,-134.8559583198359,-134.8559583198359,-134.8559583198359,250.0,-181.2861866575669,-181.2861866575669,8,5,-134.8559583198359,0
8,15.0,-369.8559583198359,-369.8559583198359,-369.8559583198359,2,-416.28618665756693,15.0,-416.28618665756693,30.0,118.6,15.0,-369.8559583198359,-369.8559583198359,-369.8559583198359,15.0,-416.28618665756693,-416.28618665756693,2,2,-369.8559583198359,0
9,300.0,-84.8559583198359,-84.8559583198359,-84.8559583198359,4,-131.28618665756693,300.0,-131.28618665756693,300.0,2895.0,300.0,-84.8559583198359,-84.8559583198359,-84.8559583198359,300.0,-131.28618665756693,-131.28618665756693,3,3,-84.8559583198359,0
10,97.02,-287.83595831983587,-287.83595831983587,-287.83595831983587,4,-334.26618665756695,97.02,-334.26618665756695,504.47,229.0,97.02,-287.83595831983587,-287.83595831983587,-287.83595831983587,97.02,-334.26618665756695,-334.26618665756695,4,3,-287.83595831983587,0
11,751.84,366.9840416801641,366.9840416801641,366.9840416801641,1,320.5538133424331,751.84,320.5538133424331,751.84,751.84,751.84,366.9840416801641,366.9840416801641,366.9840416801641,751.84,320.5538133424331,320.5538133424331,1,1,366.9840416801641,0
12,43.56,-341.2959583198359,-341.2959583198359,-341.2959583198359,3,-387.7261866575669,43.56,-387.7261866575669,43.56,43.56,43.56,-341.2959583198359,-341.2959583198359,-341.2959583198359,43.56,-387.7261866575669,-387.7261866575669,4,1,-341.2959583198359,0
13,151.51,-233.3459583198359,-233.3459583198359,-233.3459583198359,2,-279.7761866575669,151.51,-279.7761866575669,151.51,151.51,151.51,-233.3459583198359,-233.3459583198359,-233.3459583198359,151.51,-279.7761866575669,-279.7761866575669,2,2,-233.3459583198359,0
14,85.0,-299.8559583198359,-299.8559583198359,-299.8559583198359,5,-346.28618665756693,85.0,-346.28618665756693,85.0,85.0,85.0,-299.8559583198359,-299.8559583198359,-299.8559583198359,85.0,-346.28618665756693,-346.28618665756693,5,2,-299.8559583198359,0
15,10.3,-374.5559583198359,-374.5559583198359,-374.5559583198359,10,-420.9861866575669,10.3,-420.9861866575669,2048.01,1014.44,10.3,-374.5559583198359,-374.5559583198359,-374.5559583198359,10.3,-420.9861866575669,-420.9861866575669,8,10,-374.5559583198359,0
16,2114.43,1729.5740416801639,1729.5740416801639,1729.5740416801639,9,1683.1438133424328,2114.43,1683.1438133424328,2114.43,2114.43,2114.43,1729.5740416801639,1729.5740416801639,1729.5740416801639,2114.43,1683.1438133424328,1683.1438133424328,10,2,1729.5740416801639,0
17,75.65,-309.2059583198359,-309.2059583198359,-309.2059583198359,36,-355.6361866575669,75.65,-355.6361866575669,75.65,8375.580000000002,75.65,-309.2059583198359,-309.2059583198359,-309.2059583198359,75.65,-355.6361866575669,-355.6361866575669,33,17,-309.2059583198359,0
18,139.09,-245.7659583198359,-245.7659583198359,-245.7659583198359,8,-292.19618665756695,139.09,-292.19618665756695,139.09,280.59000000000003,139.09,-245.7659583198359,-245.7659583198359,-245.7659583198359,139.09,-292.19618665756695,-292.19618665756695,8,5,-245.7659583198359,0
19,91.28,-293.5759583198359,-293.5759583198359,-293.5759583198359,2,-340.00618665756684,91.28,-340.00618665756684,115.77,91.28,91.28,-293.5759583198359,-293.5759583198359,-293.5759583198359,91.28,-340.00618665756684,-340.00618665756684,2,1,-293.5759583198359,0
20,57.85,-327.0059583198359,-327.0059583198359,-327.0059583198359,1,-373.4361866575669,57.85,-373.4361866575669,57.85,302.85,57.85,-327.0059583198359,-327.0059583198359,-327.0059583198359,57.85,-373.4361866575669,-373.4361866575669,2,1,-327.0059583198359,0
21,374.85,-10.005958319835884,-10.005958319835884,-10.005958319835884,19,-56.43618665756691,374.85,-56.43618665756691,374.85,6030.96,374.85,-10.005958319835884,-10.005958319835884,-10.005958319835884,374.85,-56.43618665756691,-56.43618665756691,18,15,-10.005958319835884,0
22,14.94,-369.9159583198359,-369.9159583198359,-369.9159583198359,12,-416.34618665756693,14.94,-416.34618665756693,14.94,1492.5,14.94,-369.9159583198359,-369.9159583198359,-369.9159583198359,14.94,-416.34618665756693,-416.34618665756693,12,8,-369.9159583198359,0
23,33.84,-351.015958319836,-351.015958319836,-351.015958319836,3,-397.4461866575669,33.84,-397.4461866575669,56.63,56.63,33.84,-351.015958319836,-351.015958319836,-351.015958319836,33.84,-397.4461866575669,-397.4461866575669,3,1,-351.015958319836,0
24,1.46,-383.39595831983587,-383.39595831983587,-383.39595831983587,9,-429.8261866575669,1.46,-429.8261866575669,373.44,304.24999999999994,1.46,-383.39595831983587,-383.39595831983587,-383.39595831983587,1.46,-429.8261866575669,-429.8261866575669,8,7,-383.39595831983587,0
25,62.8,-322.0559583198359,-322.0559583198359,-322.0559583198359,4,-368.4861866575669,62.8,-368.4861866575669,62.8,383.64,62.8,-322.0559583198359,-322.0559583198359,-322.0559583198359,62.8,-368.4861866575669,-368.4861866575669,4,3,-322.0559583198359,0
