,merchantnum_amount_sum_3,merchantnum_amount_week_diff_sum_3,cardnum_amount_sum_3,cardnum_amount_week_diff_sum_3,newmerch_30,newmerch_15,cardnum_merchantnum_30,cardnum_merchantnum_15,cardnum_zip_30,cardnum_state_30,Fraud
0,182.0,-202.85595831983588,182.0,-202.85595831983588,1,1,10,10,7,5,0
1,174.61,-210.2459583198359,174.61,-210.2459583198359,0,0,1,1,1,1,0
2,53.0,-331.8559583198359,53.0,-331.8559583198359,1,0,8,6,7,5,0
3,25.0,-359.8559583198359,25.0,-359.8559583198359,2,1,4,4,4,2,0
4,97.17,-287.6859583198359,97.17,-287.6859583198359,1,1,4,2,4,3,0
5,6.51,-378.3459583198359,6.51,-378.3459583198359,0,0,1,1,1,1,0
6,170.0,-214.85595831983588,170.0,-214.85595831983588,1,0,2,1,2,2,0
7,250.0,-134.8559583198359,250.0,-134.8559583198359,2,1,9,5,8,5,0
8,15.0,-369.8559583198359,15.0,-369.8559583198359,0,0,2,2,2,2,0
9,300.0,-84.8559583198359,300.0,-84.8559583198359,1,0,4,3,3,1,0
10,97.02,-287.83595831983587,97.02,-287.83595831983587,1,0,4,3,4,3,0
11,751.84,366.9840416801641,751.84,366.9840416801641,0,0,1,1,1,1,0
12,43.56,-341.2959583198359,43.56,-341.2959583198359,3,1,3,1,4,3,0
13,151.51,-233.3459583198359,151.51,-233.3459583198359,1,1,2,2,2,2,0
14,85.0,-299.8559583198359,85.0,-299.8559583198359,2,0,5,2,5,5,0
15,10.3,-374.5559583198359,10.3,-374.5559583198359,0,0,10,10,8,5,0
16,2114.43,1729.5740416801639,2114.43,1729.5740416801639,2,0,9,2,10,8,0
17,75.65,-309.2059583198359,75.65,-309.2059583198359,7,1,36,17,33,14,0
18,139.09,-245.7659583198359,139.09,-245.7659583198359,4,2,8,5,8,3,0
19,91.28,-293.5759583198359,91.28,-293.5759583198359,1,0,2,1,2,2,0
20,57.85,-327.0059583198359,57.85,-327.0059583198359,0,0,1,1,2,2,0
21,374.85,-10.005958319835884,374.85,-10.005958319835884,0,0,19,15,18,12,0
