,cardnum_amount_sum_3,cardnum_amount_week_diff_sum_3,merchantnum_amount_sum_3,cardnum_amount_month_diff_sum_3,cardnum_amount_sum_7,cardnum_amount_week_diff_max_3,merchantnum_amount_week_diff_sum_3,merchantnum_amount_month_diff_sum_3,cardnum_amount_week_diff_sum_1,merchantnum_amount_max_3,cardnum_amount_month_diff_max_3,cardnum_amount_max_3,merchantnum_amount_week_diff_max_3,merchantnum_amount_month_diff_max_3,merchantnum_amount_month_diff_sum_7,cardnum_merchantnum_30,cardnum_amount_week_diff_max_1,merchantnum_amount_sum_7,merchantnum_amount_week_diff_max_1,cardnum_amount_month_diff_sum_7,Fraud
0,182.0,-202.85595831983588,182.0,-249.2861866575669,3422.4400000000005,-202.85595831983588,-202.85595831983588,-249.2861866575669,-202.85595831983588,182.0,-249.2861866575669,182.0,-202.85595831983588,-249.2861866575669,-249.2861866575669,10,-202.85595831983588,182.0,-202.85595831983588,-2283.6294942890413,0
1,174.61,-210.2459583198359,174.61,-256.6761866575669,174.61,-210.2459583198359,-210.2459583198359,-256.6761866575669,-210.2459583198359,174.61,-256.6761866575669,174.61,-210.2459583198359,-256.6761866575669,-439.25345237524164,1,-210.2459583198359,1430.61,-210.2459583198359,-256.6761866575669,0
2,53.0,-331.8559583198359,53.0,-378.28618665756693,302.88,-331.8559583198359,-331.8559583198359,-378.28618665756693,-331.8559583198359,53.0,-378.28618665756693,53.0,-331.8559583198359,-378.28618665756693,-378.28618665756693,8,-331.8559583198359,53.0,-331.8559583198359,-1087.4576971360168,0
3,25.0,-359.8559583198359,25.0,-406.28618665756693,25.0,-359.8559583198359,-359.8559583198359,-406.28618665756693,-359.8559583198359,25.0,-406.28618665756693,25.0,-359.8559583198359,-406.28618665756693,-406.28618665756693,4,-359.8559583198359,25.0,-359.8559583198359,-406.28618665756693,0
4,97.17,-287.6859583198359,97.17,-334.11618665756686,97.17,-287.6859583198359,-287.6859583198359,-334.11618665756686,-287.6859583198359,97.17,-334.11618665756686,97.17,-287.6859583198359,-334.11618665756686,-334.11618665756686,4,-287.6859583198359,97.17,-287.6859583198359,-334.11618665756686,0
5,6.51,-378.3459583198359,6.51,-424.7761866575669,6.51,-378.3459583198359,-378.3459583198359,-424.7761866575669,-378.3459583198359,6.51,-424.7761866575669,6.51,-378.3459583198359,-424.7761866575669,-884.2919418967919,1,-378.3459583198359,26.520000000000003,-378.3459583198359,-424.7761866575669,0
6,170.0,-214.85595831983588,170.0,-261.28618665756693,170.0,-214.85595831983588,-214.85595831983588,-261.28618665756693,-214.85595831983588,170.0,-261.28618665756693,170.0,-214.85595831983588,-261.28618665756693,-261.28618665756693,2,-214.85595831983588,170.0,-214.85595831983588,-261.28618665756693,0
7,250.0,-134.8559583198359,250.0,-181.2861866575669,409.75,-134.8559583198359,-134.8559583198359,-181.2861866575669,-134.8559583198359,250.0,-181.2861866575669,250.0,-134.8559583198359,-181.2861866575669,-624.8919418967919,9,-134.8559583198359,285.92,-134.8559583198359,-501.06194189679184,0
8,15.0,-369.8559583198359,15.0,-416.28618665756693,118.6,-369.8559583198359,-369.8559583198359,-416.28618665756693,-369.8559583198359,15.0,-416.28618665756693,15.0,-369.8559583198359,-416.28618665756693,-880.8119418967917,2,-369.8559583198359,30.0,-369.8559583198359,-792.2119418967917,0
9,300.0,-84.8559583198359,300.0,-131.28618665756693,2895.0,-84.8559583198359,-84.8559583198359,-131.28618665756693,-84.8559583198359,300.0,-131.28618665756693,300.0,-84.8559583198359,-131.28618665756693,-131.28618665756693,4,-84.8559583198359,300.0,-84.8559583198359,1504.6623028639829,0
10,97.02,-287.83595831983587,97.02,-334.26618665756695,229.0,-287.83595831983587,-287.83595831983587,-334.26618665756695,-287.83595831983587,97.02,-334.26618665756695,97.02,-287.83595831983587,-334.26618665756695,-1365.3934523752416,4,-287.83595831983587,504.47,-287.83595831983587,-1161.3376971360167,0
11,751.84,366.9840416801641,751.84,320.5538133424331,751.84,366.9840416801641,366.9840416801641,320.5538133424331,366.9840416801641,751.84,320.5538133424331,751.84,366.9840416801641,320.5538133424331,320.5538133424331,1,366.9840416801641,751.84,366.9840416801641,320.5538133424331,0
12,43.56,-341.2959583198359,43.56,-387.7261866575669,43.56,-341.2959583198359,-341.2959583198359,-387.7261866575669,-341.2959583198359,43.56,-387.7261866575669,43.56,-341.2959583198359,-387.7261866575669,-387.7261866575669,3,-341.2959583198359,43.56,-341.2959583198359,-387.7261866575669,0
