,merchantnum_amount_week_diff_max_1,merchantnum_amount_max_3,newmerch_30,cardnum_state_30,cardnum_state_15,newmerch_7,merchantnum_cardnum_3,cardnum_merchantnum_15,cardnum_merchantnum_30,cardnum_zip_7,Fraud
0,-364.4854636937648,3.62,1,1,1,1,1,1,1,1,0
1,-336.68546369376475,31.42,1,1,1,1,1,1,1,1,0
2,-189.61546369376475,178.49,1,1,1,1,1,1,1,1,0
3,-364.4854636937648,3.62,0,1,1,0,2,1,1,1,0
4,-364.4854636937648,3.62,1,1,1,1,2,1,1,1,0
5,-364.4354636937648,3.67,0,1,1,0,3,1,1,1,0
6,-364.4354636937648,3.67,0,1,1,0,4,1,1,1,0
7,-137.78546369376477,230.32,1,1,1,1,1,1,1,1,0
8,-305.99546369376475,62.11,1,1,1,1,1,1,1,1,0
9,-364.4354636937648,3.67,1,1,1,1,4,1,1,1,0
10,-364.4354636937648,3.67,0,1,1,0,5,1,1,1,0
11,-364.4354636937648,3.67,1,1,1,1,5,1,1,1,0
12,-364.2554636937648,3.85,0,1,1,0,6,1,1,1,0
13,-261.2154636937648,106.89,1,1,1,1,1,1,1,1,0
14,-230.6554636937648,137.45,0,1,1,0,2,1,1,1,0
15,-364.2554636937648,3.85,0,1,1,0,6,1,1,1,0
16,-364.2554636937648,3.85,0,1,1,0,6,1,1,1,0
17,-364.2554636937648,3.85,0,1,1,0,7,1,1,1,0
18,-364.2554636937648,3.85,0,1,1,0,8,1,1,1,0
19,-149.53546369376474,218.57,1,1,1,1,1,1,1,1,0
20,-364.2554636937648,3.85,1,1,1,1,8,1,1,1,0
21,-364.2554636937648,3.85,1,1,1,1,8,1,1,1,0
22,-364.2554636937648,3.85,1,1,1,1,8,1,1,1,0
23,-299.20546369376467,68.9,1,1,1,1,1,1,1,1,0
24,-364.2554636937648,3.85,0,1,1,0,9,1,1,1,0
25,-364.2554636937648,3.85,0,1,1,0,10,1,1,1,0
26,-8.105463693764763,360.0,0,1,1,0,3,1,1,1,0
27,-364.2554636937648,3.85,1,1,1,1,10,1,1,1,0
28,58.894536306235246,427.0,0,1,1,0,4,1,1,1,0
29,-364.2554636937648,3.85,0,1,1,0,10,1,1,1,0
30,-364.2554636937648,3.85,0,1,1,0,11,1,1,1,0
31,-140.10546369376476,228.0,1,1,1,1,1,1,1,1,0
32,-364.2554636937648,3.85,1,1,1,1,11,1,1,1,0
33,-364.2554636937648,3.85,0,1,1,0,12,1,1,1,0
34,-364.2554636937648,3.85,0,1,1,0,13,1,1,1,0
35,-364.2554636937648,3.85,0,1,1,0,13,1,1,1,0
36,-344.49546369376475,23.61,1,1,1,1,1,1,1,1,0
37,-364.2554636937648,3.85,0,1,1,0,14,1,1,1,0
38,-364.2554636937648,3.85,1,1,1,1,14,1,1,1,0
39,715.5445363062354,1083.65,2,2,2,2,1,2,2,2,0
40,-364.2554636937648,3.85,0,1,1,0,14,1,1,1,0
41,-364.2554636937648,3.85,0,1,1,0,15,1,1,1,0
42,-364.2554636937648,3.85,0,1,1,0,15,1,1,1,0
43,-291.80546369376475,76.3,1,1,1,1,1,1,1,1,0
44,-364.2554636937648,3.85,0,1,1,0,16,1,1,1,0
45,-364.2554636937648,3.85,0,1,1,0,17,1,1,1,0
46,-364.2554636937648,3.85,1,1,1,1,17,1,1,1,0
47,-335.30546369376475,32.8,1,1,1,1,1,1,1,1,0
48,-108.30546369376476,259.8,1,1,1,1,1,1,1,1,0
49,-356.81546369376474,11.29,0,1,1,0,18,1,1,1,0
50,-359.268336781949,20.15,1,1,1,1,1,1,1,0,0
51,151.56166321805102,530.98,1,1,1,1,1,1,1,1,0
52,-342.718336781949,36.7,1,1,1,1,1,1,1,1,0
53,-355.518336781949,23.9,0,1,1,0,2,1,1,0,0
54,-355.518336781949,23.9,0,1,1,0,3,1,1,0,0
55,-309.2683367819489,70.15,1,1,1,1,1,1,1,1,0
56,-349.418336781949,30.0,1,1,1,1,1,1,1,1,0
57,-355.518336781949,23.9,1,1,1,1,3,1,1,1,0
58,-355.518336781949,23.9,1,1,1,1,3,1,1,2,0
59,-355.518336781949,23.9,1,1,1,1,3,1,1,3,0
60,-355.518336781949,23.9,1,1,1,1,3,1,1,4,0
61,-352.00833678194886,27.41,0,1,1,0,4,1,1,0,0
62,-342.718336781949,36.7,0,1,1,0,2,1,1,1,0
63,-352.00833678194886,27.41,1,1,1,1,4,1,1,5,0
64,-352.00833678194886,27.41,1,1,1,1,4,1,1,6,0
65,-352.00833678194886,27.41,0,1,1,0,4,1,1,1,0
66,-342.718336781949,36.7,0,1,1,0,3,1,1,1,0
67,-341.908336781949,37.51,0,1,1,0,4,1,1,2,0
68,-341.908336781949,37.51,0,1,1,0,4,1,1,3,0
69,-311.668336781949,67.75,0,1,1,0,4,1,1,1,0
70,-341.908336781949,37.51,1,1,1,1,4,1,1,7,0
71,-341.908336781949,37.51,1,1,1,1,4,1,1,8,0
72,-101.468336781949,277.95,1,1,1,1,1,1,1,1,0
73,-247.538336781949,131.88,1,1,1,1,1,1,1,1,0
74,-341.908336781949,37.51,0,1,1,0,4,1,1,1,0
75,-101.468336781949,277.95,0,1,1,0,2,1,1,1,0
76,-341.908336781949,37.51,1,1,1,1,4,1,1,9,0
77,-278.01833678194896,101.4,0,1,1,0,5,1,1,0,0
78,-278.01833678194896,101.4,0,1,1,0,6,1,1,0,0
79,-376.6152082501664,10.71,1,1,1,1,1,1,1,1,0
80,-367.1652082501663,20.16,1,1,1,1,1,1,1,1,0
81,-86.43520825016634,300.89,1,1,1,1,1,1,1,1,0
82,-349.8352082501663,37.49,1,1,1,1,1,1,1,1,0
83,-218.32520825016638,169.0,1,1,1,1,1,1,1,1,0
84,-296.37520825016634,90.95,1,1,1,1,1,1,1,1,0
85,-383.3352082501663,3.99,1,1,1,1,1,1,1,1,0
86,-331.5252082501663,55.8,2,2,2,2,1,2,2,1,0
87,-347.3752082501664,39.95,1,1,1,1,1,1,1,1,0
88,-226.9452082501664,160.38,1,1,1,1,1,1,1,1,0
