,merchantnum_amount_week_diff_max_1,newmerch_30,cardnum_state_30,cardnum_state_15,newmerch_7,merchantnum_cardnum_3,cardnum_merchantnum_15,cardnum_merchantnum_30,cardnum_zip_7,Fraud
0,-364.4854636937648,1,1,1,1,1,1,1,1,0
1,-336.68546369376475,1,1,1,1,1,1,1,1,0
2,-189.61546369376475,1,1,1,1,1,1,1,1,0
3,-364.4854636937648,0,1,1,0,2,1,1,1,0
4,-364.4854636937648,1,1,1,1,2,1,1,1,0
5,-364.4354636937648,0,1,1,0,3,1,1,1,0
6,-364.4354636937648,0,1,1,0,4,1,1,1,0
7,-137.78546369376477,1,1,1,1,1,1,1,1,0
8,-305.99546369376475,1,1,1,1,1,1,1,1,0
9,-364.4354636937648,1,1,1,1,4,1,1,1,0
10,-364.4354636937648,0,1,1,0,5,1,1,1,0
11,-364.4354636937648,1,1,1,1,5,1,1,1,0
12,-364.2554636937648,0,1,1,0,6,1,1,1,0
13,-261.2154636937648,1,1,1,1,1,1,1,1,0
14,-230.6554636937648,0,1,1,0,2,1,1,1,0
15,-364.2554636937648,0,1,1,0,6,1,1,1,0
16,-364.2554636937648,0,1,1,0,6,1,1,1,0
17,-364.2554636937648,0,1,1,0,7,1,1,1,0
18,-364.2554636937648,0,1,1,0,8,1,1,1,0
19,-149.53546369376474,1,1,1,1,1,1,1,1,0
20,-364.2554636937648,1,1,1,1,8,1,1,1,0
21,-364.2554636937648,1,1,1,1,8,1,1,1,0
22,-364.2554636937648,1,1,1,1,8,1,1,1,0
23,-299.20546369376467,1,1,1,1,1,1,1,1,0
24,-364.2554636937648,0,1,1,0,9,1,1,1,0
25,-364.2554636937648,0,1,1,0,10,1,1,1,0
26,-8.105463693764763,0,1,1,0,3,1,1,1,0
27,-364.2554636937648,1,1,1,1,10,1,1,1,0
28,58.894536306235246,0,1,1,0,4,1,1,1,0
29,-364.2554636937648,0,1,1,0,10,1,1,1,0
30,-364.2554636937648,0,1,1,0,11,1,1,1,0
31,-140.10546369376476,1,1,1,1,1,1,1,1,0
32,-364.2554636937648,1,1,1,1,11,1,1,1,0
33,-364.2554636937648,0,1,1,0,12,1,1,1,0
34,-364.2554636937648,0,1,1,0,13,1,1,1,0
35,-364.2554636937648,0,1,1,0,13,1,1,1,0
36,-344.49546369376475,1,1,1,1,1,1,1,1,0
37,-364.2554636937648,0,1,1,0,14,1,1,1,0
38,-364.2554636937648,1,1,1,1,14,1,1,1,0
39,715.5445363062354,2,2,2,2,1,2,2,2,0
40,-364.2554636937648,0,1,1,0,14,1,1,1,0
41,-364.2554636937648,0,1,1,0,15,1,1,1,0
42,-364.2554636937648,0,1,1,0,15,1,1,1,0
43,-291.80546369376475,1,1,1,1,1,1,1,1,0
44,-364.2554636937648,0,1,1,0,16,1,1,1,0
45,-364.2554636937648,0,1,1,0,17,1,1,1,0
46,-364.2554636937648,1,1,1,1,17,1,1,1,0
47,-335.30546369376475,1,1,1,1,1,1,1,1,0
48,-108.30546369376476,1,1,1,1,1,1,1,1,0
49,-356.81546369376474,0,1,1,0,18,1,1,1,0
50,-359.268336781949,1,1,1,1,1,1,1,0,0
51,151.56166321805102,1,1,1,1,1,1,1,1,0
52,-342.718336781949,1,1,1,1,1,1,1,1,0
